Category,Tag,Description,Example
,Timespan- less than one month for Racket,Students spend more than one month to be familiar with the basics of Racket,"We spent the first semester learning racket, so I would say one or two months."
,Timespan-months but faster comparatively C++,Students learn C++ through months but comparatively faster,"I think, like few months,"
,Timespan-more than one month for Racket,Students spend less than one month to be familiar with the basics of Racket,Probably two weeks
Reason,Reason-not familiar with coding when learn C++,Students learnt C++ faster because they think the are not familiar with coding at that time,"I guess because like having prior knowledge of different programming languages, you kind of know the flow of like, So that really helps with like learning about racket in general."
,Reason-Racket is harder than C++ for its syntax,Students think racket is harder than C++ for its syntax,racket is harder than C++. Because I think it's just more intuitive being able to program like with for loops and things rather than with recursion.
,Reason-walking steps by steps help learning,Students think walking through the language steps by steps helps learning,"Well, you said like, with C++ that you kind of like the second time around, took it more slowly? And like went through? more carefully, like step by step."
,Reason-class is simple for racket,Students learnt Racket faster because they think the class is simple and straightforward. ,"I would say it's been like, pretty good, maybe not great. Partly maybe just because of the that we haven't spent as much time getting to look at it"
,Reason-more difficult tasks for C++,Students think they need to do more difficult tasks for C++ than PA of Racket,I think I think we've also just done more difficult stuff with C++. Like the stuff we've done with Racket has been pretty easy.
,Reason-More experience on imperative languages,Students think they learn C++ better because they had experience of other imperative languages,"I think it's good. I had a pretty good background in Java. Heading in so I thought it was pretty similar, but it's been pretty good here."
,Reason-more resources online,Students think there are more resources online,"I think it's more, everyone uses it. So if you're like, StackOverflow, you have a problem that you're more likely to get an answer for C++ than racket"
Other Programming Language,Other Functional Programming language,"Students have experience with prolog, or other programing language",Then caml
,Other Imperative Progaming languages,"Students have experience with Java, C, etc.","Python, Java, C++."
